ML,DAA,DBMS,SI,DM,IoT,DBMS LAB,ML LAB,GPA
7,9,5,4,10,9,5,5,6.6
10,4,10,8,6,10,6,4,7.6
7,10,5,7,6,4,5,5,6.25
8,8,5,10,4,5,8,5,6.9
4,9,6,6,7,4,6,10,6.3
10,9,9,9,5,7,4,8,8.05
8,5,5,7,9,10,8,9,7.4
4,6,6,6,4,9,8,10,6.65
7,5,4,6,7,7,6,10,6.3
5,9,5,10,4,7,8,6,7
10,4,6,10,8,7,6,7,7.25
6,6,5,9,7,9,9,4,6.9
9,5,4,10,7,7,6,8,7
6,6,8,4,9,7,7,6,6.4
8,7,8,7,8,6,10,6,7.4
8,5,9,4,6,6,4,4,5.9
5,9,4,8,5,4,6,5,5.85
6,5,4,7,8,7,4,4,5.55
8,10,4,7,4,6,6,7,6.75
5,9,10,9,7,5,6,7,7.35
10,4,5,9,7,6,9,10,7.35
9,9,9,7,10,5,7,8,7.85
9,9,4,10,5,9,9,7,8
9,9,5,8,5,9,9,4,7.55
5,4,9,4,5,7,5,9,6
7,8,5,6,4,6,8,7,6.5
9,5,4,10,7,8,9,10,7.65
5,7,7,7,10,4,4,7,6.1
9,8,4,5,10,10,7,5,7.1
5,4,10,4,7,6,5,10,6.2
4,7,8,7,6,7,4,10,6.65
4,6,6,6,6,6,4,6,5.5
10,6,5,6,9,9,10,8,7.65
10,8,4,6,4,6,9,6,6.8
5,5,8,8,10,10,5,6,7
5,4,8,6,9,4,8,9,6.2
4,10,9,10,7,7,9,8,8.05
7,8,7,9,8,9,10,5,7.9
4,8,9,6,9,4,9,5,6.5
9,10,10,8,7,8,4,7,8.2
5,9,7,8,6,4,9,8,6.95
6,8,5,8,9,6,5,7,6.6
5,6,9,7,9,10,10,4,7.4
8,9,7,5,10,9,6,10,7.8
10,5,6,6,10,8,7,10,7.45
4,10,7,5,9,10,4,4,6.65
6,4,7,10,5,4,10,6,6.5
9,10,5,4,6,6,4,6,6.4
9,9,4,7,4,8,5,5,6.75
4,6,5,6,10,5,7,7,5.8
5,7,4,4,8,4,10,7,5.7
10,5,7,5,9,8,7,10,7.4
9,9,8,7,8,9,5,6,7.8
7,9,10,7,5,9,5,10,8.05
6,8,8,5,9,7,8,7,7.05
7,8,6,4,4,9,5,9,6.7
9,7,5,9,8,9,5,7,7.45
8,10,4,8,6,6,9,7,7.3
9,7,6,10,6,5,4,6,6.85
5,8,9,9,6,4,5,5,6.55
6,5,9,10,8,9,4,9,7.55
10,6,6,5,7,8,4,9,6.9
8,4,7,8,4,6,10,10,7.15
7,4,4,10,4,6,7,9,6.45
6,9,10,6,5,6,7,5,7
8,8,7,6,8,4,4,4,6.15
4,10,7,10,4,9,9,10,8.1
4,10,6,9,8,5,8,10,7.3
8,10,7,7,5,7,10,5,7.6
6,6,6,8,10,9,7,7,7.15
7,7,4,10,7,9,4,6,6.9
6,5,9,6,4,4,6,7,6
10,4,4,4,4,6,9,10,6.3
5,10,8,8,9,5,5,4,6.75
5,10,10,10,6,5,7,8,7.8
4,4,6,9,4,5,5,8,5.7
5,8,5,9,5,9,6,9,7.15
9,4,8,7,9,5,7,10,7.1
7,5,7,8,5,9,8,8,7.25
4,5,10,4,7,9,6,7,6.45
5,4,7,8,4,7,8,6,6.25
7,9,5,6,10,9,10,10,7.9
7,9,10,9,7,7,7,8,8.15
6,10,6,10,7,8,8,6,7.75
10,5,8,4,10,7,6,6,6.8
5,7,4,9,4,10,5,10,6.95
9,7,5,10,10,4,4,7,6.85
10,8,5,8,5,6,5,7,7
7,8,4,7,5,6,7,4,6.15
8,7,5,5,9,10,4,6,6.7
10,8,6,4,10,10,5,9,7.6
5,10,8,6,10,6,5,9,7.15
6,9,6,10,6,7,10,5,7.5
5,9,4,6,4,8,4,5,5.9
10,6,8,4,5,4,4,6,6.05
10,7,4,6,6,9,9,6,7.2
8,7,5,9,5,9,7,4,7.05
4,8,7,9,10,7,9,9,7.55
9,9,7,4,10,8,8,9,7.75
6,8,4,4,10,8,10,4,6.4
4,6,9,5,10,6,4,5,5.9
4,8,4,5,4,9,10,4,6.1
5,7,7,6,5,9,9,6,6.85
10,7,8,6,6,6,6,10,7.45
9,5,6,8,10,8,7,4,7
5,7,7,8,6,6,10,10,7.25
7,8,4,4,4,9,4,4,5.8
8,7,4,8,8,7,7,7,6.9
7,5,5,4,8,8,9,8,6.45
8,6,6,7,7,5,7,7,6.55
6,8,4,7,9,7,10,8,7.05
10,6,10,10,4,5,5,5,7.35
9,7,6,6,6,4,6,8,6.5
10,8,10,6,9,6,10,4,7.85
5,7,7,6,8,10,7,8,7.15
10,8,9,10,5,9,7,9,8.75
10,7,10,10,8,9,7,6,8.6
4,7,9,10,6,4,10,9,7.3
7,10,7,8,4,5,4,8,6.95
4,7,4,8,5,4,4,5,5.2
5,9,10,10,7,6,4,6,7.35
5,7,10,6,8,5,10,10,7.35
9,9,8,4,7,4,4,10,6.85
9,6,10,6,9,4,10,8,7.5
9,6,5,9,8,8,7,5,7.15
5,5,8,9,10,6,5,9,6.85
6,7,4,7,5,10,5,10,6.85
7,9,7,7,6,6,4,9,7
4,8,6,8,10,10,9,4,7.2
5,9,7,7,9,9,7,6,7.3
7,9,6,4,9,8,10,8,7.35
9,10,9,6,9,9,5,5,7.9
4,6,9,4,10,6,6,9,6.35
6,5,9,9,10,6,7,5,6.95
10,5,6,4,6,4,4,6,5.65
10,8,4,5,4,7,9,8,7
7,9,7,9,4,10,4,4,7.3
10,9,10,5,10,7,10,4,8.05
10,4,8,10,4,7,4,4,6.85
6,7,8,8,10,8,8,8,7.65
4,6,4,10,10,4,9,8,6.4
6,7,8,9,6,7,9,8,7.55
9,9,8,5,8,7,5,5,7.1
4,6,7,8,5,10,10,6,7.1
8,5,6,7,8,7,9,4,6.65
7,5,4,5,6,5,5,6,5.3
8,9,8,4,9,7,7,7,7.25
9,10,5,5,5,9,4,5,6.85
7,7,8,8,5,10,6,9,7.75
4,7,10,6,7,5,4,10,6.55
9,10,5,6,6,8,4,6,7
6,6,6,6,7,9,6,9,6.8
9,4,5,4,7,10,8,5,6.45
10,8,5,5,7,4,9,10,7.05
8,9,9,8,7,4,7,5,7.25
5,5,9,4,9,10,10,10,7.4
5,8,5,7,7,8,7,6,6.6
8,7,7,9,6,7,9,7,7.6
7,6,6,5,10,9,5,9,6.85
7,5,8,8,4,6,9,5,6.7
8,5,8,7,9,10,10,8,7.95
5,10,8,9,10,10,7,5,8
10,7,5,9,5,8,4,10,7.5
8,9,4,7,9,5,6,10,7
5,6,8,6,8,9,5,10,7
8,8,4,10,7,5,9,4,6.9
10,10,9,6,6,6,8,10,8.25
7,10,8,10,9,4,7,7,7.7
9,4,4,10,10,8,10,5,7.25
8,9,7,4,9,5,8,10,7.2
7,6,5,7,7,8,6,6,6.5
8,9,7,4,5,8,8,5,6.95
9,4,5,8,4,5,6,5,5.95
7,10,9,6,6,5,10,5,7.35
4,9,10,4,4,5,4,6,6
6,7,9,10,5,5,6,10,7.4
10,8,9,9,9,8,10,10,9.05
7,5,4,7,9,8,9,4,6.4
4,9,9,9,9,4,4,10,7.1
6,4,8,4,4,10,6,4,6
10,6,6,7,8,9,10,4,7.5
8,5,10,6,6,6,5,6,6.65
6,6,8,5,6,4,4,10,6.05
8,6,10,10,6,8,4,5,7.5
10,4,4,5,9,7,5,4,5.85
6,10,4,6,9,5,8,8,6.7
6,6,10,7,9,9,8,5,7.45
6,8,4,5,5,8,7,4,6
9,5,7,4,8,5,10,7,6.6
4,4,9,8,7,10,9,10,7.5
8,10,6,10,9,10,10,6,8.65
10,6,5,10,6,10,7,8,7.95
4,6,4,4,6,8,10,10,6.2
10,10,4,4,5,4,9,9,6.85
7,8,8,5,4,7,7,7,6.85
10,5,7,7,9,8,7,5,7.2
8,6,6,7,10,6,10,10,7.45
4,5,6,9,7,8,10,10,7.15
10,6,8,4,8,8,8,9,7.5
7,7,9,10,8,6,9,5,7.65
10,6,9,5,4,9,7,4,7.15
6,10,8,6,10,6,9,8,7.6
4,6,10,10,6,10,8,7,7.8
10,6,7,7,9,7,10,5,7.5
9,7,10,9,4,7,5,8,7.8
5,4,10,4,4,9,7,7,6.4
9,10,8,8,5,6,10,5,7.9
5,10,7,10,6,7,8,6,7.55
7,9,4,8,9,8,9,8,7.55
4,5,9,6,9,5,6,9,6.3
7,9,4,4,7,10,7,7,6.85
7,5,8,4,4,4,4,4,5.2
7,8,6,9,8,4,9,6,7
6,5,6,8,6,6,6,8,6.35
7,7,9,9,9,5,7,6,7.3
7,8,9,4,9,5,6,4,6.4
6,5,9,9,10,9,8,7,7.7
9,8,7,4,10,7,7,6,7.05
7,4,10,6,4,5,7,5,6.2
6,6,7,4,4,8,4,5,5.75
8,8,8,7,10,5,9,6,7.4
10,4,6,8,4,8,7,8,7.1
9,6,6,6,8,8,5,4,6.55
8,4,9,7,10,10,5,7,7.4
8,5,9,4,9,4,7,9,6.55
9,10,4,6,7,6,9,4,6.9
5,10,6,7,10,10,9,10,8.1
7,4,5,5,5,9,10,10,6.75
6,8,8,10,4,8,6,7,7.5
7,6,8,5,9,9,9,5,7.1
8,5,10,7,7,9,10,5,7.7
7,5,9,4,8,5,7,6,6.2
6,6,9,6,4,5,9,7,6.6
4,5,9,10,4,6,7,6,6.6
9,8,7,5,9,4,6,7,6.7
10,8,9,5,4,5,6,6,6.95
10,9,6,5,8,4,4,5,6.4
9,4,6,8,10,9,10,6,7.5
4,7,4,4,7,4,4,8,5
5,6,7,10,4,10,5,9,7.3
7,9,7,5,5,7,10,5,7
8,10,6,5,5,7,4,9,6.95
6,7,9,10,5,7,5,4,7
10,5,9,5,7,10,10,10,8.2
6,5,6,7,6,4,6,6,5.7
8,10,8,10,7,7,6,4,7.8
9,8,4,9,6,8,5,4,6.9
8,10,9,6,5,6,4,6,7.1
6,5,9,6,9,10,10,9,7.75
8,7,8,6,7,8,5,8,7.2
4,5,4,7,8,10,10,9,6.8
6,7,8,9,4,6,8,6,7
4,9,6,4,4,10,7,8,6.65
9,5,5,7,10,5,8,5,6.45
7,5,4,10,9,4,4,5,5.85
7,7,8,6,7,10,6,5,7.15
6,10,9,7,9,7,6,9,7.8
8,7,10,9,6,4,10,5,7.5
8,9,4,9,4,8,9,8,7.6
7,6,4,7,7,8,8,9,6.85
4,7,4,8,10,10,7,10,7.15
10,10,7,8,6,9,7,6,8.2
4,9,9,9,6,8,7,10,7.85
9,5,4,6,6,4,8,7,6
7,10,7,4,10,4,5,8,6.6
7,7,7,4,9,5,8,7,6.45
4,10,6,4,10,6,9,4,6.3
9,7,7,7,9,8,4,9,7.45
5,8,9,5,7,4,5,5,6
10,9,4,4,8,9,5,7,7
4,7,5,5,10,5,7,10,6.1
5,4,8,6,10,8,8,7,6.65
7,5,10,8,10,5,5,10,7.25
7,8,6,6,7,5,6,7,6.45
5,10,5,6,7,9,5,8,6.9
9,9,7,4,4,5,8,7,6.8
8,7,6,7,9,4,6,4,6.25
8,6,7,9,10,9,9,10,8.25
9,8,7,9,9,4,4,6,7
5,9,10,10,5,9,9,6,8.2
10,8,8,5,9,6,5,8,7.3
6,6,6,6,8,7,6,7,6.35
4,4,10,5,8,10,5,10,6.85
5,7,9,10,8,6,8,7,7.45
10,7,9,10,4,8,7,10,8.5
6,7,5,6,9,10,6,8,6.95
9,7,7,4,8,10,6,4,6.95
8,7,9,8,9,5,7,10,7.7
4,5,4,6,9,9,9,5,6.05
5,4,4,10,6,7,9,8,6.5
4,8,9,9,9,9,10,8,8.1
4,4,6,7,8,7,4,8,5.8
5,5,10,9,6,10,10,7,7.85
6,9,5,10,4,7,5,9,7.15
4,9,7,5,10,5,10,8,6.8
4,10,4,10,9,8,9,6,7.35
10,10,5,9,10,10,5,6,8.2
6,10,6,6,4,6,7,10,7
9,10,10,9,5,8,5,4,8.05
4,5,5,7,10,9,6,5,6.1
6,9,4,10,7,5,8,8,7.05
6,9,7,7,9,6,8,6,7.1
10,7,7,4,4,5,6,5,6.25
7,4,7,8,10,7,6,8,6.85
4,5,10,8,7,10,5,10,7.4
10,6,5,10,5,7,7,4,7.05
5,10,9,9,9,8,10,4,8
9,9,9,5,10,8,9,10,8.4
9,10,10,4,7,5,5,6,7.15
9,9,10,9,5,8,7,9,8.6
7,4,8,10,8,4,9,9,7.15
4,7,5,10,9,7,8,8,7
7,10,7,6,6,10,10,10,8.3
7,10,4,5,5,5,4,7,6
10,8,4,10,9,7,6,8,7.7
6,6,10,8,4,8,4,6,6.9
8,9,5,8,9,5,5,9,7.1
10,6,7,4,9,10,7,6,7.3
6,6,4,8,10,10,6,4,6.6
10,4,10,6,9,10,6,7,7.75
6,10,7,9,5,8,9,5,7.65
4,9,10,6,6,8,6,6,7.05
6,8,4,6,8,5,10,7,6.45
9,9,5,4,4,8,9,5,6.85
6,7,10,10,10,10,10,6,8.55
8,8,6,7,9,4,4,6,6.4
4,4,7,4,4,4,7,4,4.75
7,10,10,6,4,9,6,10,8.1
10,7,9,7,7,10,10,6,8.4
6,10,7,6,10,10,9,4,7.65
10,10,6,8,5,6,6,10,7.85
6,6,9,6,9,4,4,6,6.1
4,9,9,7,4,10,8,8,7.65
6,7,7,6,8,7,7,6,6.65
6,5,10,6,4,4,5,9,6.25
6,5,4,8,5,5,4,6,5.45
7,9,10,6,10,9,8,6,8.05
4,7,4,9,5,9,10,7,6.9
4,5,6,5,7,10,5,8,6.15
10,6,6,9,5,7,9,8,7.65
7,6,10,7,8,7,10,9,7.85
5,8,7,5,5,8,9,10,7.1
7,4,4,7,6,9,7,9,6.55
5,10,7,4,6,4,8,4,6
9,10,6,9,8,10,10,9,8.9
10,6,9,5,6,8,5,5,7
4,8,4,8,6,9,10,8,7.05
8,6,7,8,7,6,5,6,6.7
10,5,10,8,5,8,9,9,8.2
9,9,6,7,4,5,7,10,7.3
8,6,7,9,10,8,10,7,7.9
5,5,9,6,10,4,4,6,5.85
8,10,8,5,8,6,10,10,7.95
6,4,9,10,5,8,8,6,7.2
5,9,9,4,6,4,9,10,6.85
7,10,5,7,10,6,10,7,7.45
8,8,9,10,5,8,10,8,8.5
4,7,6,6,9,4,4,7,5.6
8,9,5,9,9,10,9,6,8.1
9,10,7,5,4,5,7,8,7.1
5,8,6,9,10,8,9,8,7.6
5,6,10,9,7,8,10,7,7.75
10,6,9,5,10,7,4,9,7.35
7,4,5,9,6,9,8,6,6.8
5,6,8,4,10,8,8,5,6.45
4,10,9,5,6,4,4,4,5.9
10,5,5,6,4,9,9,4,6.75
7,8,5,7,10,10,10,5,7.55
9,4,7,9,10,6,9,6,7.25
6,4,8,4,9,7,4,4,5.6
6,8,4,9,8,4,4,5,5.95
6,5,8,8,10,10,7,7,7.45
6,5,4,9,9,8,9,8,6.95
7,6,5,10,8,6,9,6,7
4,10,8,6,7,5,10,6,6.9
10,7,10,7,7,10,6,4,7.95
6,6,4,4,6,8,4,7,5.6
6,10,5,10,10,4,6,9,7.25
8,5,6,6,8,10,8,9,7.35
6,10,10,8,7,5,7,8,7.7
8,4,8,7,5,8,8,9,7.2
5,5,6,8,10,10,7,8,7.1
10,4,5,9,5,10,9,4,7.25
8,7,4,8,4,4,9,9,6.65
7,8,8,7,4,7,5,10,7.25
10,7,9,9,8,5,5,10,7.9
5,9,5,5,10,6,5,6,6.1
9,7,8,4,10,10,7,9,7.8
6,9,4,6,5,10,8,7,7
5,9,8,10,10,5,9,7,7.65
6,10,5,4,5,10,5,7,6.7
9,7,6,8,7,10,5,6,7.45
5,8,4,4,4,7,7,6,5.7
4,9,7,10,10,6,9,4,7.2
10,10,8,9,10,8,7,10,8.95
9,10,8,5,5,6,9,5,7.35
9,6,5,9,7,4,10,8,7.1
7,6,7,7,5,10,7,6,7.1
4,10,6,8,7,10,4,6,7.05
9,6,10,9,7,6,10,8,8.15
5,4,5,5,4,9,10,8,6.2
5,5,9,4,9,10,10,6,7
4,6,10,9,6,4,8,4,6.45
4,10,4,6,9,8,10,7,6.95
8,6,6,8,8,5,7,7,6.75
7,8,8,9,7,5,8,4,7.1
4,6,5,10,5,8,4,10,6.6
9,10,9,4,10,6,8,8,7.8
10,7,7,8,6,4,6,9,7.2
10,5,8,10,8,8,5,7,7.75
10,7,5,4,10,6,10,7,7
7,4,8,7,6,9,8,5,6.85
8,8,5,4,7,7,8,5,6.45
7,4,4,10,6,8,9,7,6.85
5,9,6,5,8,5,5,10,6.4
9,8,7,4,10,6,10,8,7.4
10,9,4,8,8,5,8,10,7.6
7,7,10,7,10,8,7,4,7.45
6,7,10,5,9,10,6,8,7.55
9,8,10,8,5,4,6,9,7.6
4,10,7,8,9,5,7,8,7.05
7,10,6,9,9,7,4,7,7.4
9,10,10,4,8,8,9,8,8.25
5,9,5,9,4,7,10,10,7.45
9,9,4,9,8,9,6,6,7.6
5,8,10,4,10,9,4,5,6.8
9,10,8,9,6,10,8,9,8.9
4,7,10,6,5,10,4,10,7.2
6,6,9,7,4,5,8,8,6.75
6,6,7,5,9,9,7,6,6.7
9,7,8,4,9,4,10,9,7.15
8,8,6,7,8,10,4,10,7.65
6,7,5,4,9,6,4,10,6.05
7,7,5,7,10,6,7,4,6.4
10,6,8,4,10,5,8,5,6.75
9,6,7,5,10,10,9,9,7.85
4,5,9,5,6,8,6,6,6.15
10,7,6,7,10,6,10,4,7.3
5,6,6,5,8,7,4,5,5.65
6,6,4,6,5,5,5,4,5.2
4,7,9,8,6,5,6,5,6.35
10,8,8,10,4,4,4,4,7
9,4,8,9,7,7,9,4,7.2
5,7,6,4,4,8,7,7,6.1
5,5,8,5,7,5,8,9,6.25
9,4,8,6,7,8,8,4,6.8
7,4,4,9,7,7,5,8,6.3
9,10,6,9,8,5,8,6,7.65
9,6,9,8,5,6,8,6,7.35
4,9,6,9,4,8,5,4,6.5
5,9,7,6,9,7,4,10,6.95
5,7,8,8,6,4,10,10,7.1
9,9,6,6,8,4,9,5,6.9
6,10,5,8,5,6,6,8,6.9
10,4,9,7,10,6,4,6,6.9
7,9,7,6,7,6,7,10,7.3
6,9,6,4,4,10,5,8,6.75
8,9,4,8,8,6,6,6,6.85
10,6,7,4,6,4,5,8,6.25
5,9,7,9,6,9,8,7,7.65
7,10,10,10,10,7,6,8,8.5
10,10,10,6,10,6,10,6,8.4
8,6,9,9,9,10,5,9,8.15
4,6,10,5,9,10,4,4,6.5
8,6,6,6,5,10,9,8,7.35
8,7,8,5,9,6,6,9,7.05
5,5,10,8,5,4,9,5,6.45
4,10,10,5,4,5,5,5,6.3
9,8,9,10,4,8,10,7,8.5
8,9,7,7,5,4,9,8,7.2
4,10,5,6,5,9,5,5,6.35
8,4,4,5,6,4,7,10,5.75
4,8,10,6,6,5,10,6,6.85
8,5,5,7,6,8,9,6,6.75
8,9,5,10,9,4,8,9,7.55
8,7,6,9,4,9,6,7,7.35
8,5,8,5,5,8,8,4,6.55
6,8,7,6,9,9,6,5,6.95
7,8,6,10,4,7,10,4,7.3
8,4,7,9,6,10,5,5,7
7,6,4,7,8,6,4,5,5.8
8,6,6,10,5,10,8,6,7.65
5,10,5,10,8,7,10,7,7.65
9,10,6,10,5,5,8,8,7.85
4,9,8,10,9,7,6,5,7.25
5,7,6,4,8,9,6,10,6.65
6,9,6,5,9,5,7,7,6.5
7,8,9,4,8,9,10,5,7.45
9,5,10,10,6,9,8,8,8.35
7,5,6,10,5,10,5,4,6.85
9,5,8,10,10,5,10,9,7.95
5,5,5,6,4,7,9,8,6.1
6,8,4,8,8,8,8,9,7.2
8,5,10,6,4,6,9,9,7.25
7,8,5,5,8,6,10,8,6.85
8,8,9,7,6,5,6,6,7.05
8,10,9,8,6,8,7,4,7.85
5,10,6,4,9,6,8,7,6.6
7,4,7,8,4,6,5,10,6.5
